tag,company,last_update,last_values
AACG,ATA Creativity Global American Depositary Shares,2000-01-01,0
AACQ,Artius Acquisition Inc. Class A Common Stock,2000-01-01,0
AACQU,Artius Acquisition Inc. Unit ,2000-01-01,0
AACQW,Artius Acquisition Inc Warrant,2000-01-01,0
AAL,American Airlines Group Inc. Common Stock,2000-01-01,0
AAME,Atlantic American Corporation Common Stock,2000-01-01,0
AAOI,Applied Optoelectronics Inc. Common Stock,2000-01-01,0
AAON,AAON Inc. Common Stock,2000-01-01,0
AAPL,Apple Inc. Common Stock,2000-01-01,0
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,2000-01-01,0
ABCB,Ameris Bancorp Common Stock,2000-01-01,0
ABCL,AbCellera Biologics Inc. Common Shares,2000-01-01,0
ABCM,Abcam plc American Depositary Shares,2000-01-01,0
ABEO,Abeona Therapeutics Inc. Common Stock,2000-01-01,0
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,2000-01-01,0
ABIO,ARCA biopharma Inc. Common Stock,2000-01-01,0
ABMD,ABIOMED Inc. Common Stock,2000-01-01,0
ABNB,Airbnb Inc. Class A Common Stock,2000-01-01,0
ABST,Absolute Software Corporation Common Stock,2000-01-01,0
ABTX,Allegiance Bancshares Inc. Common Stock,2000-01-01,0
ABUS,Arbutus Biopharma Corporation Common Stock,2000-01-01,0
ACAC,Acies Acquisition Corp. Class A Ordinary Share,2000-01-01,0
ACACU,Acies Acquisition Corp. Unit,2000-01-01,0
ACACW,Acies Acquisition Corp. Warrant,2000-01-01,0
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,2000-01-01,0
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,2000-01-01,0
ACAHU,Atlantic Coastal Acquisition Corp. Unit,2000-01-01,0
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,2000-01-01,0
ACB,Aurora Cannabis Inc. Common Shares,2000-01-01,0
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,2000-01-01,0
ACBAU,Ace Global Business Acquisition Limited Unit,2000-01-01,0
ACBAW,Ace Global Business Acquisition Limited Warrant,2000-01-01,0
ACBI,Atlantic Capital Bancshares Inc. Common Stock,2000-01-01,0
ACCD,Accolade Inc. Common Stock,2000-01-01,0
ACER,Acer Therapeutics Inc. Common Stock (DE),2000-01-01,0
ACET,Adicet Bio Inc. Common Stock ,2000-01-01,0
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,2000-01-01,0
ACEVU,ACE Convergence Acquisition Corp. Unit,2000-01-01,0
ACEVW,ACE Convergence Acquisition Corp. Warrant,2000-01-01,0
ACGL,Arch Capital Group Ltd. Common Stock,2000-01-01,0
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,2000-01-01,0
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,2000-01-01,0
ACHC,Acadia Healthcare Company Inc. Common Stock,2000-01-01,0
ACHL,Achilles Therapeutics plc American Depositary Shares,2000-01-01,0
ACHV,Achieve Life Sciences Inc. Common Shares,2000-01-01,0
ACIU,AC Immune SA Common Stock,2000-01-01,0
ACIW,ACI Worldwide Inc. Common Stock,2000-01-01,0
ACKIT,Ackrell SPAC Partners I Co. Subunits,2000-01-01,0
ACKIU,Ackrell SPAC Partners I Co. Units,2000-01-01,0
ACKIW,Ackrell SPAC Partners I Co. Warrants,2000-01-01,0
ACLS,Axcelis Technologies Inc. Common Stock,2000-01-01,0
ACMR,ACM Research Inc. Class A Common Stock,2000-01-01,0
ACNB,ACNB Corporation Common Stock,2000-01-01,0
ACOR,Acorda Therapeutics Inc. Common Stock,2000-01-01,0
ACQR,Independence Holdings Corp. Class A Ordinary Share,2000-01-01,0
ACQRU,Independence Holdings Corp. Units,2000-01-01,0
ACQRW,Independence Holdings Corp. Warrant,2000-01-01,0
ACRS,Aclaris Therapeutics Inc. Common Stock,2000-01-01,0
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,2000-01-01,0
ACST,Acasti Pharma Inc. Class A Common Stock,2000-01-01,0
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,2000-01-01,0
ACTCU,ArcLight Clean Transition Corp. Unit,2000-01-01,0
ACTCW,ArcLight Clean Transition Corp. Warrant,2000-01-01,0
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,2000-01-01,0
ACTDU,ArcLight Clean Transition Corp. II Unit,2000-01-01,0
ACTDW,ArcLight Clean Transition Corp. II Warrant,2000-01-01,0
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,2000-01-01,0
ACVA,ACV Auctions Inc. Class A Common Stock,2000-01-01,0
ADAG,Adagene Inc. American Depositary Shares,2000-01-01,0
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,2000-01-01,0
ADBE,Adobe Inc. Common Stock,2000-01-01,0
ADER,26 Capital Acquisition Corp. Class A Common Stock,2000-01-01,0
ADERU,26 Capital Acquisition Corp. Unit,2000-01-01,0
ADERW,26 Capital Acquisition Corp. Warrant,2000-01-01,0
ADES,Advanced Emissions Solutions Inc. Common Stock,2000-01-01,0
ADI,Analog Devices Inc. Common Stock,2000-01-01,0
ADIL,Adial Pharmaceuticals Inc Common Stock,2000-01-01,0
ADILW,Adial Pharmaceuticals Inc Warrant,2000-01-01,0
ADMA,ADMA Biologics Inc Common Stock,2000-01-01,0
ADMP,Adamis Pharmaceuticals Corporation Common Stock,2000-01-01,0
ADMS,Adamas Pharmaceuticals Inc. Common Stock,2000-01-01,0
ADN,Advent Technologies Holdings Inc. Class A Common Stock,2000-01-01,0
ADNWW,Advent Technologies Holdings Inc. Warrant,2000-01-01,0
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,2000-01-01,0
ADOCR,Edoc Acquisition Corp. Right,2000-01-01,0
ADOCW,Edoc Acquisition Corp. Warrant,2000-01-01,0
ADP,Automatic Data Processing Inc. Common Stock,2000-01-01,0
ADPT,Adaptive Biotechnologies Corporation Common Stock,2000-01-01,0
ADSK,Autodesk Inc. Common Stock,2000-01-01,0
ADTN,ADTRAN Inc. Common Stock,2000-01-01,0
ADTX,ADiTx Therapeutics Inc. Common Stock,2000-01-01,0
ADUS,Addus HomeCare Corporation Common Stock,2000-01-01,0
ADV,Advantage Solutions Inc. Class A Common Stock,2000-01-01,0
ADVM,Adverum Biotechnologies Inc. Common Stock,2000-01-01,0
ADVWW,Advantage Solutions Inc. Warrant,2000-01-01,0
ADXN,Addex Therapeutics Ltd American Depositary Shares,2000-01-01,0
ADXS,Advaxis Inc. Common Stock,2000-01-01,0
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,2000-01-01,0
AEACU,Authentic Equity Acquisition Corp. Unit,2000-01-01,0
AEACW,Authentic Equity Acquisition Corp. Warrant,2000-01-01,0
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),2000-01-01,0
AEHR,Aehr Test Systems Common Stock,2000-01-01,0
